Port-level Imports,,,,
Current date: 10/04/2024 4:34 PM (Eastern Daylight Time),,,,
Port,Commodity,Time,Country,Customs Value (Gen) ($US)
"Seattle, WA (Port)","12 Oil Seeds Etc.; Misc Grain, Seed, Fruit, Plant Etc",2023,Vietnam,"56,459"
"Seattle, WA (Port)",14 Vegetable Plaiting Materials & Products Nesoi,2005,Vietnam,"3,018"
"Seattle, WA (Port)",14 Vegetable Plaiting Materials & Products Nesoi,2006,Vietnam,"12,560"
"Seattle, WA (Port)",14 Vegetable Plaiting Materials & Products Nesoi,2010,Vietnam,"3,889"
"Seattle, WA (Port)",14 Vegetable Plaiting Materials & Products Nesoi,2015,Vietnam,"57,672"
"Seattle, WA (Port)",14 Vegetable Plaiting Materials & Products Nesoi,2017,Vietnam,"22,677"
"Seattle, WA (Port)",14 Vegetable Plaiting Materials & Products Nesoi,2018,Vietnam,"19,822"
"Seattle, WA (Port)",14 Vegetable Plaiting Materials & Products Nesoi,2023,Vietnam,"30,902"
"Seattle, WA (Port)","15 Animal, Vegetable Or Microbial Fats And Oils Etc",2015,Vietnam,"102,600"
"Seattle, WA (Port)","15 Animal, Vegetable Or Microbial Fats And Oils Etc",2017,Vietnam,"4,761"
"Seattle, WA (Port)","15 Animal, Vegetable Or Microbial Fats And Oils Etc",2019,Vietnam,"62,482"
"Seattle, WA (Port)","15 Animal, Vegetable Or Microbial Fats And Oils Etc",2021,Vietnam,"37,913"
"Seattle, WA (Port)","15 Animal, Vegetable Or Microbial Fats And Oils Etc",2022,Vietnam,"218,440"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2003,Vietnam,"1,016,820"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2004,Vietnam,"301,776"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2005,Vietnam,"763,654"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2006,Vietnam,"2,597,307"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2007,Vietnam,"254,522"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2008,Vietnam,"1,175,431"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2009,Vietnam,"1,742,715"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2010,Vietnam,"5,112,186"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2011,Vietnam,"2,799,307"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2012,Vietnam,"1,049,388"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2013,Vietnam,"2,509,793"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2014,Vietnam,"1,582,021"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2015,Vietnam,"3,725,204"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2016,Vietnam,"2,105,253"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2017,Vietnam,"1,698,386"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2018,Vietnam,"4,564,822"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2019,Vietnam,"4,400,945"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2020,Vietnam,"8,124,855"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2021,Vietnam,"3,752,128"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2022,Vietnam,"4,414,095"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2023,Vietnam,"9,309,323"
"Seattle, WA (Port)","16 Prep Of Meat,of Fish,of Crustaceans Etc,of Insects",2024 through July,Vietnam,"2,648,841"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2003,Vietnam,"38,399"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2004,Vietnam,"35,624"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2005,Vietnam,"2,350"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2006,Vietnam,"10,700"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2007,Vietnam,"55,990"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2008,Vietnam,"2,130"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2011,Vietnam,"41,987"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2012,Vietnam,"166,375"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2014,Vietnam,"58,165"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2015,Vietnam,"273,966"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2016,Vietnam,"168,551"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2017,Vietnam,"337,191"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2018,Vietnam,"9,853"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2019,Vietnam,"91,536"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2020,Vietnam,"283,962"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2021,Vietnam,"233,304"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2022,Vietnam,"2,632,373"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2023,Vietnam,"522,731"
"Seattle, WA (Port)",17 Sugars And Sugar Confectionary,2024 through July,Vietnam,"263,819"
"Seattle, WA (Port)","19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares",2003,Vietnam,"57,654"
"Seattle, WA (Port)","19 Prep Cereal, Flour, Starch Or Milk; Bakers Wares",2004,Vietnam,"97,982"
